X,Y,fid,INDICE,NOME,COMENTARIO,ICONE,ALTITUDE,DATA,ANGULO,DISPLAY,ZONA,LATITUDE,LONGITUDE,Pavimento,ID,icon_url
-36.0435569655137,-7.91324208074097,"1","1","001",Início Rota 01- Emb. 01 M/ 01 N- St. Agreste,"222",787.1,03/01/2020 10:02:03,0,"2",,"-7,91324208074097","-36,0435569655137","4","0",./0.png
-36.043613004,-7.912406037,"2","2","002",Emb. 02 M / 01 M/ 01 N- St. Agreste,"71",790,03/01/2020 10:05:32,0,"2",,"-7,912406037","-36,043613004","2","1",./0.png
-36.044330997,-7.911124025,"3","3","003",Emb 01 N- St. Agreste,"71",775.52,03/01/2020 10:06:40,0,"2",,"-7,911124025","-36,044330997","2","2",./0.png
-36.043298012,-7.911219997,"4","4","004",Emb. 01 T- St. Agreste,"71",774.8,03/01/2020 10:07:46,0,"2",,"-7,911219997","-36,043298012","2","3",./0.png
-36.042368961,-7.911528032,"5","5","005",Emb. 01 M- St. Agreste,"71",775.84,03/01/2020 10:08:29,0,"2",,"-7,911528032","-36,042368961","2","4",./0.png
-36.038811011,-7.912168996,"6","7","007",Emb. 01 M/ 01 T /1 N - St. Queimadas,"71",753.35,03/01/2020 10:12:19,0,"2",,"-7,912168996","-36,038811011","2","5",./0.png
-36.038655024,-7.911104998,"7","8","008",Emb. 02 M/ 02 T - St. Queimadas,"71",749.27,03/01/2020 10:13:31,0,"2",,"-7,911104998","-36,038655024","2","6",./0.png
-36.038793996,-7.910535028,"8","9","009",Emb. 01 M - St. Queimadas,"71",753.8,03/01/2020 10:15:33,0,"2",,"-7,910535028","-36,038793996","2","7",./0.png
-36.040108553752,-7.90330364739014,"9","11","030",Desemb. 02 M - Gin. Esp. Severino Pereira da Silva,"122",801.53,03/01/2020 11:28:37,0,"2",,"-7,90330364739014","-36,040108553752","1","8",./0.png
-36.031608023,-7.917886041,"10","12","012",Emb. 03 M - St. Cajá,"71",792.44,03/01/2020 10:24:46,0,"2",,"-7,917886041","-36,031608023","2","9",./0.png
-36.031340975,-7.920681993,"11","13","013",Emb. 01T / 01 N  - St. Cajá,"71",846.77,03/01/2020 10:28:20,0,"2",,"-7,920681993","-36,031340975","2","10",./0.png
-36.039663032,-7.926642029,"12","14","014",Emb. 01 M/ 02 T / 02 N  - St.Lagoa  Funda,"71",879.12,03/01/2020 10:39:09,0,"2",,"-7,926642029","-36,039663032","2","11",./0.png
-36.038197959,-7.924090996,"13","15","015",Emb. 01 T - St. Gameleira,"71",828.98,03/01/2020 10:41:36,0,"2",,"-7,924090996","-36,038197959","2","12",./0.png
-36.036310019,-7.923879018,"14","16","016",Emb. 02 T/ 01 N  - St. Gameleira,"71",832.28,03/01/2020 10:43:42,0,"2",,"-7,923879018","-36,036310019","2","13",./0.png
-36.036293004,-7.924415963,"15","17","017",Emb. 01 T / 01 N  - St. Gameleira,"71",836.16,03/01/2020 10:44:47,0,"2",,"-7,924415963","-36,036293004","2","14",./0.png
-36.036311025,-7.92491301,"16","18","018",Emb.  01 M / 03 T /01 T - St. Gameleira,"71",843,03/01/2020 10:46:10,0,"2",,"-7,92491301","-36,036311025","2","15",./0.png
